timestamp,username,action,quantity,item_name,price,seller,x,y,z
2023-03-02,ArcticSun32,bought,1,Painting,2.0,_Pastel_Ghost_,383,68,852
2023-03-02,Ocin2009,bought,96,Redstone,10.0,Squillbill0506,384,75,885
2023-03-02,Ocin2009,bought,64,Quartz,13.0,Squillbill0506,385,73,885
2023-03-02,Ocin2009,bought,16,Slime Ball,20.0,Tracefais,341,64,863
2023-03-02,ArcticSun32,bought,16,Golden Carrot,18.75,Matty707,345,64,867
2023-03-02,ArcticSun32,bought,16,Golden Carrot,18.75,Matty707,345,64,867
2023-03-02,ArcticSun32,bought,1,Painting,2.0,_Pastel_Ghost_,383,68,852
2023-03-02,ArcticSun32,bought,1,Painting,2.0,_Pastel_Ghost_,383,68,852
2023-03-02,ArcticSun32,bought,1,Painting,2.0,_Pastel_Ghost_,383,68,852
2023-03-02,Cristazio,bought,1,Cake,10.0,TeddyTaps230,388,73,891
2023-03-02,Cristazio,bought,64,Potato,3.0,TeddyTaps230,382,73,894
2023-03-02,Cristazio,bought,64,Potato,3.0,TeddyTaps230,382,73,894
2023-03-02,ArcticSun32,bought,64,Sugar Cane,6.0,TeddyTaps230,388,73,894
2023-03-02,ArcticSun32,bought,64,Sugar Cane,6.0,TeddyTaps230,388,73,894
2023-03-02,ArcticSun32,bought,32,White Concrete,10.0,Lunel,381,72,852
2023-03-02,ArcticSun32,bought,32,White Concrete,10.0,Lunel,381,72,852
2023-03-02,FR33_Zion,bought,16,Bamboo,2.5,FreddBear,381,64,874
2023-03-02,FR33_Zion,bought,16,Bamboo,2.5,FreddBear,381,64,874
2023-03-02,FR33_Zion,bought,16,Bamboo,2.5,FreddBear,381,64,874
2023-03-02,FR33_Zion,bought,16,Bamboo,2.5,FreddBear,381,64,874
2023-03-02,ArcticSun32,bought,16,Gunpowder,30.0,Tracefais,339,64,863
2023-03-02,FR33_Zion,bought,1,Cake,10.0,TeddyTaps230,388,73,891
2023-03-02,FR33_Zion,bought,13,Cookie,2.0,TeddyTaps230,390,73,892
2023-03-02,FR33_Zion,bought,13,Cookie,2.0,TeddyTaps230,390,73,892
2023-03-02,FR33_Zion,bought,16,Glowstone,14.0,Lunel,385,72,850
2023-03-02,FR33_Zion,bought,96,Lapis Lazuli,10.0,Squillbill0506,383,75,885
2023-03-02,FR33_Zion,bought,96,Lapis Lazuli,10.0,Squillbill0506,383,75,885
2023-03-02,FR33_Zion,bought,96,Lapis Lazuli,10.0,Squillbill0506,383,75,885
2023-03-02,FR33_Zion,bought,96,Lapis Lazuli,10.0,Squillbill0506,383,75,885
2023-03-02,FR33_Zion,bought,96,Redstone,10.0,Squillbill0506,384,75,885
2023-03-02,FR33_Zion,bought,96,Redstone,10.0,Squillbill0506,384,75,885
2023-03-02,FR33_Zion,bought,96,Redstone,10.0,Squillbill0506,384,75,885
2023-03-02,FR33_Zion,bought,1,Jukebox,5.0,_Pastel_Ghost_,329,73,880
2023-03-02,FR33_Zion,bought,1,Jukebox,5.0,_Pastel_Ghost_,329,73,880
2023-03-02,FR33_Zion,bought,1,Jukebox,5.0,_Pastel_Ghost_,329,73,880
2023-03-02,FR33_Zion,bought,1,Music Disc 13,50.0,_Pastel_Ghost_,343,73,885
2023-03-02,Ocin2009,bought,1,Netherite Ingot,250.0,_Pastel_Ghost_,380,64,848
2023-03-02,FR33_Zion,bought,1,Diamond,3.0,_Pastel_Ghost_,380,64,849
2023-03-02,FR33_Zion,bought,1,Diamond,3.0,_Pastel_Ghost_,380,64,849
2023-03-02,FR33_Zion,bought,1,Diamond,3.0,_Pastel_Ghost_,380,64,849
2023-03-02,FR33_Zion,bought,1,Diamond,3.0,_Pastel_Ghost_,380,64,849
2023-03-02,FR33_Zion,bought,1,Diamond,3.0,_Pastel_Ghost_,380,64,849
2023-03-02,FR33_Zion,bought,1,Diamond,3.0,_Pastel_Ghost_,380,64,849
2023-03-02,FR33_Zion,bought,1,Diamond,3.0,_Pastel_Ghost_,380,64,849
2023-03-02,FR33_Zion,bought,1,Diamond,3.0,_Pastel_Ghost_,380,64,849
2023-03-02,FR33_Zion,bought,1,Enchanting Table,10.0,_Pastel_Ghost_,388,68,852
2023-03-02,Squillbill0506,bought,64,Sugar Cane,6.0,TeddyTaps230,388,73,894
2023-03-02,Squillbill0506,bought,64,Sugar Cane,6.0,TeddyTaps230,388,73,894
2023-03-02,Cristazio,bought,16,Coal,4.0,_Pastel_Ghost_,380,65,851
2023-03-02,Cristazio,bought,16,Coal,4.0,_Pastel_Ghost_,380,65,851
2023-03-02,Lunatt,bought,5,End Rod,20.0,EyFan4eva,343,73,890
2023-03-02,Lunatt,bought,5,End Rod,20.0,EyFan4eva,343,73,890
2023-03-02,Lunatt,bought,5,End Rod,20.0,EyFan4eva,343,73,890
2023-03-02,Lunatt,bought,1,End Rod,4.0,EyFan4eva,343,73,890
